statefips,countyfips,state,county,pop10,pop11,pop12,pop13,pop14,pop15
08,053,Colorado,Hinsdale County,844,827,798,808,781,774
08,055,Colorado,Huerfano County,6668,6516,6583,6488,6433,6492
08,057,Colorado,Jackson County,1385,1383,1349,1358,1395,1356
08,059,Colorado,Jefferson County,535625,539607,545817,551731,559042,565524
08,061,Colorado,Kiowa County,1396,1457,1438,1419,1411,1423
08,063,Colorado,Kit Carson County,8247,8200,8104,8025,7813,7758
08,065,Colorado,Lake County,7267,7378,7283,7298,7367,7485
08,067,Colorado,La Plata County,51371,51786,52307,53277,53850,54688
08,069,Colorado,Larimer County,300524,305314,310970,316618,324657,333577
08,071,Colorado,Las Animas County,15394,15024,14961,14399,14071,14058
08,073,Colorado,Lincoln County,5469,5434,5441,5433,5508,5557
08,075,Colorado,Logan County,22130,22107,21869,21676,21954,22036
08,077,Colorado,Mesa County,146489,147372,147720,147676,147890,148513
08,079,Colorado,Mineral County,704,711,710,721,695,726
08,081,Colorado,Moffat County,13812,13427,13174,13116,12932,12937
08,083,Colorado,Montezuma County,25548,25453,25427,25652,25799,26168
08,085,Colorado,Montrose County,41194,40905,40705,40685,40832,40946
08,087,Colorado,Morgan County,28172,28514,28344,28332,28246,28360
08,089,Colorado,Otero County,18883,18864,18687,18535,18430,18343
08,091,Colorado,Ouray County,4466,4455,4550,4578,4625,4691
08,093,Colorado,Park County,16262,16080,16019,16077,16260,16510
08,095,Colorado,Phillips County,4463,4373,4384,4359,4391,4349
08,097,Colorado,Pitkin County,17156,17127,17225,17360,17599,17787
08,099,Colorado,Prowers County,12562,12497,12397,12278,12049,11954
08,101,Colorado,Pueblo County,159520,160187,160816,161240,161759,163591
08,103,Colorado,Rio Blanco County,6669,6778,6790,6742,6681,6571
08,105,Colorado,Rio Grande County,12018,11923,11895,11751,11611,11543
08,107,Colorado,Routt County,23450,23256,23240,23489,23917,24130
08,109,Colorado,Saguache County,6136,6190,6319,6229,6199,6251
08,111,Colorado,San Juan County,708,697,695,699,719,701
08,113,Colorado,San Miguel County,7359,7480,7584,7654,7782,7879
08,115,Colorado,Sedgwick County,2370,2373,2374,2346,2334,2399
08,117,Colorado,Summit County,28065,27965,28245,28783,29451,30257
08,119,Colorado,Teller County,23450,23330,23373,23234,23378,23385
08,121,Colorado,Washington County,4801,4809,4737,4778,4786,4864
08,123,Colorado,Weld County,254166,258704,264117,270368,276379,285174
08,125,Colorado,Yuma County,10025,10163,10130,10230,10257,10146
09,000,Connecticut,Connecticut,3579717,3589759,3593541,3597168,3594762,3590886
09,001,Connecticut,Fairfield County,919744,929013,935238,941793,945816,948053
09,003,Connecticut,Hartford County,895303,896928,897149,897926,896871,895841
09,005,Connecticut,Litchfield County,189773,188945,187455,186609,184910,183603
09,007,Connecticut,Middlesex County,165628,166198,165508,165301,164757,164063
09,009,Connecticut,New Haven County,863401,863977,863921,862515,861238,859470
09,011,Connecticut,New London County,274067,273211,274394,273716,272743,271863
09,013,Connecticut,Tolland County,153208,153069,151934,151722,151597,151420
09,015,Connecticut,Windham County,118593,118418,117942,117586,116830,116573
10,000,Delaware,Delaware,899791,907916,917099,925353,935968,945934
10,001,Delaware,Kent County,162990,165242,167611,169385,171773,173533
10,003,Delaware,New Castle County,538911,542349,546211,549529,553347,556779
10,005,Delaware,Sussex County,197890,200325,203277,206439,210848,215622
11,000,District of Columbia,District of Columbia,605126,620472,635342,649540,659836,672228
11,001,District of Columbia,District of Columbia,605126,620472,635342,649540,659836,672228
12,000,Florida,Florida,18849890,19105533,19352021,19594467,19905569,20271272
12,001,Florida,Alachua County,247625,249688,251669,253252,256518,259964
12,003,Florida,Baker County,27076,27076,27052,26991,27135,27420
12,005,Florida,Bay County,169247,169647,171920,174859,178703,181635
